Year,India,China,USA,Brazil,Indonesia
2000,477.2,1211.3,10252.3,655.0,165.0
2001,493.9,1339.4,10581.8,558.2,160.4
2002,523.8,1470.6,10936.4,504.2,195.7
2003,618.4,1660.3,11458.2,558.3,234.8
2004,721.6,1955.3,12213.7,663.8,256.8
2005,834.2,2285.9,13036.6,882.0,285.9
2006,949.1,2752.1,13814.6,1089.3,364.6
2007,1238.7,3550.3,14451.9,1397.1,432.2
2008,1224.1,4594.3,14712.8,1695.8,510.2
2009,1365.4,5101.7,14448.9,1667.0,539.6
2010,1708.5,6101.3,14992.1,2208.9,709.2
2011,1835.5,7572.6,15542.6,2614.0,892.9
2012,1827.6,8560.5,16197.0,2464.8,917.9
2013,1856.7,9607.2,16784.8,2472.8,912.5
2014,2039.1,10480.4,17527.3,2455.9,890.5
2015,2103.6,11064.7,18224.8,1800.4,860.9
2016,2294.8,11233.3,18715.0,1794.9,932.4
2017,2651.5,12310.4,19519.4,2062.9,1015.5
2018,2702.9,13894.0,20580.2,1916.9,1042.3
2019,2870.5,14342.9,21380.9,1873.6,1119.2
2020,2674.9,14687.7,20893.7,1449.9,1058.7
2021,3150.3,17734.1,23315.1,1649.6,1186.5
2022,3352.6,17963.2,25462.7,1924.4,1319.1
2023,3549.9,17794.8,27357.8,2173.7,1371.2
2024,3912.7,18300.0,29000.0,2330.0,1472.0
